2011-10-27 04:44:23 Debug: Notice (8): Undefined variable: Seguindo in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 174]
2011-10-27 04:44:34 Debug: Notice (8): Undefined index: oauth_token in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-27 04:44:34 Debug: Notice (8): Undefined index: oauth_token_secret in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-27 04:44:35 Debug: Notice (8): Undefined property: UsuariosController::$Seguindo in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 174]
2011-10-27 04:44:58 Debug: Notice (8): Undefined index: oauth_token in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-27 04:44:58 Debug: Notice (8): Undefined index: oauth_token_secret in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-27 04:44:59 Debug: Notice (8): Undefined property: UsuariosController::$Seguindo in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 174]
2011-10-27 04:45:14 Debug: Notice (8): Undefined index: oauth_token in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-27 04:45:14 Debug: Notice (8): Undefined index: oauth_token_secret in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-27 04:45:15 Debug: Notice (8): Undefined property: UsuariosController::$Seguindo in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 175]
2011-10-27 04:49:02 Debug: Notice (8): Undefined index: oauth_token in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-27 04:49:02 Debug: Notice (8): Undefined index: oauth_token_secret in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
2011-10-27 04:49:03 Debug: Notice (8): Undefined property: UsuariosController::$Evento in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 173]
2011-10-27 04:49:03 Debug: Notice (8): Trying to get property of non-object in [C:\xampp\htdocs\twitevent\app\controllers\usuarios_controller.php, line 173]
2011-10-27 04:49:41 Debug: Notice (8): Undefined index: oauth_token in [C:\xampp\htdocs\twitevent\app\plugins\twitter\controllers\components\Twitter\twitter.php, line 134]
